Insect Species,Family
Atlas Beetle,Scarabaeidae
Butterfly,Papilionidae
Leafhopper,Cicadellidae
Mason Bee,Megachilidae
Firefly,Lampyridae
Red Ant,Formicidae
Scarab Beetle,Scarabaeidae
Glow Worm,Lampyridae
Paper Wasp,Vespidae
Praying Mantis,Mantidae
Tiger Beetle,Cicindelidae
Fire Ant,Formicidae
Army Ant,Formicidae
Trapdoor Spider,Ctenizidae
Carpenter Ant,Formicidae
Termite,Termitidae
Grasshopper,Acrididae
Lacewing,Chrysopidae
Argiope Spider,Araneidae
Cricket,Gryllidae
Stag Beetle,Lucanidae
Black Widow Spider,Theridiidae
Sawfly,Tenthredinidae
Flea,Siphonaptera
Golden Orb Weaver,Nephilidae
Horsefly,Tabanidae
Orb Weaver Spider,Araneidae
Stonefly,Plecoptera
Bullet Ant,Formicidae
Honey Bee,Apidae
Mayfly,Ephemeroptera
Mosquito,Culicidae
Yellow Jacket,Vespidae
Velvet Ant,Mutillidae
Bedbug,Cimicidae
Bumblebee,Apidae
Harvester Ant,Formicidae
Ladybug,Coccinellidae
Peacock Spider,Salticidae
Goliath Beetle,Scarabaeidae
Weevil,Curculionidae
Shield Bug,Pentatomidae
Aphid,Aphididae
Water Strider,Gerridae
Fruit Fly,Drosophilidae
Moth,Erebidae
Silkworm Moth,Bombycidae
Silverfish,Lepismatidae
Ant,Formicidae
Jumping Spider,Salticidae
House Fly,Muscidae
Dragonfly,Libellulidae
Atlas Moth,Saturniidae
Cockroach,Blattidae
Damsel Fly,Coenagrionidae
Beetle,Coleoptera
Wolf Spider,Lycosidae
Yellow Crazy Ant,Formicidae
Hornet,Vespidae
Earwig,Dermaptera
Dung Beetle,Scarabaeidae
Monarch Butterfly,Nymphalidae
Tarantula,Theraphosidae
Wasp,Vespidae
Leafcutter Ant,Formicidae
Stick Insect,Phasmatidae
Cicada,Cicadidae
